Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Denmark,180.14,98.67,78.5,76.17,93.27,7.26,28.6,24.25,82.01
2,Finland,179.4,101.93,76.81,74.61,81.23,7.61,33.87,12.65,58.78
3,Germany,178.92,107.9,67.36,75.99,73.18,7.82,30.66,27.18,82.75
4,Austria,178.53,87.11,80.87,79.47,78.98,9.45,27.1,23.46,77.7
5,Netherlands,177.8,94.23,71.11,82.22,79.61,6.71,32.83,27.33,86.81
6,Switzerland,172.86,114.6,78.44,71.74,138.16,10.42,28.87,22.43,79.63
7,New Zealand,172.46,89.65,60.84,71.65,87.53,7.03,33.57,19.78,96.08
8,Australia,172.4,107.84,57.98,75.42,85.96,7.57,35.71,24.87,87.92
9,United States,167.5,114.73,51.5,68.53,77.23,3.12,34.78,31.44,76.09
10,Slovenia,166.1,68.72,75.29,65.15,58.32,8.17,26.51,26.04,76.07
11,Spain,165.67,78.18,69.96,76.34,60.64,7.9,32.12,38.35,91.61
12,Sweden,159.9,94.77,50.65,70.56,83.32,11.58,30.2,19.16,73.67
13,Portugal,159.59,55.75,65.09,69.73,54.63,9.24,31.12,29.79,97.31
14,Norway,158.85,92.2,55.01,74.96,112.75,8.58,30.64,19.54,71.87
15,Canada,158.19,98.45,60.89,69.77,72.82,6.36,36,27.72,53.56
16,United Kingdom,156.8,92.5,58.99,74.26,76.02,11.1,35.45,36.92,87.75
17,Japan,155.8,92.48,80.5,81.33,89.5,13.27,45.2,41.02,81.44
18,Croatia,155.14,53.71,71.86,65.05,53.98,10.79,29.36,31.67,87.23
19,France,154.43,89.37,55.22,78.4,81.16,9.28,34.83,41,89.93
20,Czech Republic,153.71,65.78,70.83,75.48,47.67,11.43,31.35,41.42,78.1
21,Ireland,152.11,87.26,55.24,53.12,84.88,7.13,37,28.31,89.49
22,Taiwan,149.97,94.89,81.69,82.75,66.8,13.83,35.82,62.86,75.22
23,Belgium,147.51,80.41,57.69,79.85,82.24,7.23,34.72,49.79,86.36
24,Slovakia,144.55,57.89,69.48,63.2,49.45,9.73,33.68,42.01,77.54
25,South Korea,142.67,89.74,70.6,82.46,81.07,14.28,35.96,52.48,65.86
26,Israel,142.48,92.26,70.54,74.98,88.56,13.43,35.52,61.05,89.76
27,Poland,141.3,64.79,69.81,62.33,43.5,9.83,34.12,51.09,75.59
28,United Arab Emirates,140.62,106.06,80.67,63.26,70.14,5.2,37.17,56.36,23.84
29,Saudi Arabia,139.86,119.44,72.86,60.29,50.22,2.84,34.98,73.13,32.01
30,Lithuania,138.36,48.45,60.94,66.33,51.93,13.79,27.03,33.92,66.84
31,Romania,138.19,57.4,71.47,53.84,38.71,8.79,32.49,51.21,74.62
32,Singapore,134.53,88.14,83.1,68.5,88.07,22.18,45.35,34.82,47.99
33,Italy,132.59,68.09,55.41,66.69,77.36,10.42,36.21,52.33,89.56
34,Greece,131.1,49.65,60.59,54.64,61.29,8.54,31.05,52.36,90.97
35,South Africa,126.41,85.91,24.61,62.55,46.45,3.64,43.03,62.49,92.46
36,Hungary,125.82,41.48,61.84,52.29,47.19,12.36,33.45,45.22,78.22
37,Bulgaria,122.85,46.62,59.99,52.72,40.24,8.77,29.13,62.65,78.84
38,Mexico,120.73,51.36,49.36,69.82,36.28,7.04,39.84,66.51,78.41
39,Argentina,119.71,50.83,36.55,72.23,56.8,11.79,38.89,55.1,94.61
40,Turkey,118.34,47.84,58.97,70.81,44.41,9.41,46.16,70.15,88.58
41,Chile,116.43,49.57,55.39,61.84,53.31,12.38,36.1,67.16,90.1
42,Serbia,116.42,36.1,61.2,53.12,37.42,18,29.26,55.68,82.1
43,India,110.39,67.15,55.51,67.5,27.48,9.88,46.61,76.63,55.6
44,Malaysia,104.15,64.43,36.43,65.66,43.31,9.54,37.06,65.19,42.25
45,Indonesia,103.85,32.63,56.23,68.16,42.32,13.01,41.73,58.02,49.3
46,Colombia,103.64,32.97,48.73,66.79,34.35,18.27,47.06,64.6,93.33
47,Hong Kong,99.17,74.04,79.93,65.2,79.24,38.61,41.33,68.46,72.83
48,Pakistan,94.23,35.88,46.68,56.85,27.65,11.82,40.07,77.88,69.33
49,Philippines,92.93,31.88,59.96,68.46,36.51,17.18,43.42,71.32,49.65
50,Russia,91.73,45.2,54.3,56.13,44.48,12.44,49.5,63.83,38.04
51,China,91.29,62.21,67.51,61.56,45.78,27.4,43.43,86.82,72.54
52,Brazil,89.6,36.54,29.55,52.44,53.06,17.04,46.21,60.13,90.22
53,Ukraine,87.63,25.2,49.57,49.34,29.21,19.92,38.5,67.55,69.23
54,Iran,85.03,39.29,50.16,51.78,38.19,12.9,50.17,80.79,69.01
55,Thailand,82.02,28.61,51.12,80.57,47.2,25.95,41.09,72.83,51.85
56,Egypt,78.51,23.24,46.67,42.95,25.39,11.67,47.6,89.05,85.84